,TweetID,TweetContent,TweeterUsername,TweetDatetime,TweetLongitude,TweetLatitude,TweetPlace
372,1543323383919562754,"'Can the 1 Trait do it again
Bring the fire like they did in 2010
Wait–
What year did that come out again?'
I can't remember motherfucker, I've been hittin' my vape pen",1tdangerbot,2022-07-02 19:59:02+00:00,,,
373,1543323091836833793,My uber smells like strawberry vape and fart,m666xo,2022-07-02 19:57:53+00:00,,,
374,1543323047872155648,Vt. health officials say youth vaping remains top concern https://t.co/rPG3istEXb,borowest,2022-07-02 19:57:42+00:00,,,
375,1543322990179393536,"My first step as president would be to initiate a firearm for Juul pod pack trade-in program 
#McLoudpack2024",sh4ysh4y,2022-07-02 19:57:29+00:00,,,
376,1543322882389905408,Vape pens just give me crackhead vibes fr idk lmao,Fatmackin,2022-07-02 19:57:03+00:00,,,
377,1543322405283790850,i have 4 vapes in here https://t.co/GBfybEq4Ou,yodasprozac,2022-07-02 19:55:09+00:00,,,
378,1543322198697459713,They should make disposable vapes for crack.,ShloppyShop,2022-07-02 19:54:20+00:00,,,
379,1543321806773288960,feeling lost today https://t.co/S1CrLXsTiO,juul_survivor,2022-07-02 19:52:46+00:00,,,
380,1543321310167814146,"Me too. Say whatcha want about vaping, but it got me to kick a 40+ year tobacco addiction.",SirKnightDavid,2022-07-02 19:50:48+00:00,,,
381,1543321064750596096,At this point my vape is basically just an adult pacifier.,Sheridamnson,2022-07-02 19:49:50+00:00,,,
382,1543320945624076289,learned the names of several vape outlets on my way back home,rockst4r_gf,2022-07-02 19:49:21+00:00,,,
383,1543320742565117957,I think ima stop vaping,auntdot_2,2022-07-02 19:48:33+00:00,,,
384,1543320712709959681,Juul gets banned just as Pride Month ends...coincidence???,WhiteMale,2022-07-02 19:48:26+00:00,,,
385,1543320530153082885,why is being able to vape literally anywhere a thing,Hys3x,2022-07-02 19:47:42+00:00,,,
386,1543320426008690688,"So John Skerritt @TGAgovau appeared to be ready to threaten @hollieahughes with one would suggest prosecution for holding an empty bottle of nicotine at a senate enquiry. When will he prosecute the @4corners journalist¿ For illegal purchases of nicotine vapes?

@LivePippas",VaperNt,2022-07-02 19:47:17+00:00,,,
387,1543320250153897988,i need a vape bruh,rizzlebeenhigh,2022-07-02 19:46:35+00:00,-85.0964141,35.898172,"Crossville, TN"
388,1543320114795188224,After 15 years of smoking cigs / vapes 🚬 today marks day 1 of quitting. #smokeweederrday,CodyConk,2022-07-02 19:46:03+00:00,,,
389,1543320092758249472,The mango vape I bought is literally so yummy didn’t know weed could be this nice,colorsparkly,2022-07-02 19:45:58+00:00,,,
390,1543320085946896384,if minions were real i’d give them vapes,mcbumslap,2022-07-02 19:45:56+00:00,,,
391,1543320049087172608,"The FDA’s order for Juul to pull its e-cigarettes from the U.S. market is part of an effort to bring scientific scrutiny to the multibillion-dollar vaping industry.

https://t.co/TnFEtR1n7B
FDA bans Juul e-cigarettes tied to teen vaping surge
The F... https://t.co/3bERgQfCRe",Nichola68999471,2022-07-02 19:45:47+00:00,,,
